error_code,description
source_url,https://learn.microsoft.com/en-us/previous-versions/windows/it-pro/windows-10/security/threat-protection/auditing/event-4776
0xc0000064,The username you typed does not exist. Bad username.
0xc000006a,Account logon with misspelled or bad password.
0xc000006d,Generic logon failure. Possibly LAN Manager Authentication Level mismatch between the source and target computers.
0xc000006f,Account logon outside authorized hours.
0xc0000070,Account logon from unauthorized workstation.
0xc0000071,Account logon with expired password.
0xc0000072,Account logon to account disabled by administrator.
0xc0000193,Account logon with expired account.
0xc0000224,Account logon with "Change Password at Next Logon" flagged.
0xc0000234,Account logon with account locked.
0xc0000371,The local account store does not contain secret material for the specified account.
0x0,No errors.
